anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
beti,373,2.5,0.00382068,0.00028304,0.00107685,0.00010918
beti,373,3.0,0.00264,0.00022128,0.00104495,0.00010376
beti,373,3.5,0.00217718,0.00020358,0.00100315,0.00010567
beti,373,4.0,0.00187474,0.00015544,0.00102565,0.0001079
beti,373,4.5,0.00170693,0.00014621,0.00096408,0.00010431
beti,373,5.0,0.00151013,0.0001496,0.0008939,0.00010107
beti,373,5.5,0.00106773,0.0001035,0.0008064,8.835e-05
beti,373,6.0,0.00096196,0.00010397,0.00080234,9.315e-05
beti,373,6.5,0.00073743,9.37e-05,0.00071632,9.749e-05
beti,373,7.0,0.00064605,7.409e-05,0.00053447,7.784e-05
beti,373,7.5,0.00053513,7.583e-05,0.00049646,6.059e-05
beti,373,8.0,0.0004529,6.441e-05,0.0004314,6.602e-05
beti,373,8.5,0.00037864,5.263e-05,0.00041736,6.159e-05
beti,373,9.0,0.00034994,4.479e-05,0.00036346,6.006e-05
beti,373,9.5,0.00033164,4.037e-05,0.00030632,5.795e-05
beti,373,10.0,0.00028822,3.604e-05,0.00033047,5.749e-05
beti,423,0.1,,,0.00358333,0.00019065
beti,423,0.2,0.00276189,0.00745678,0.00361824,0.00018192
beti,423,0.3,0.00718905,0.00520275,0.003651,0.00019927
beti,423,0.4,0.01301444,0.00329124,0.0036514,0.00019966
